document_id,title,rank,word,tfidf_score
tr-000,手塚治虫,1,手塚,0.35323415556783894
tr-000,手塚治虫,2,漫画,0.3071491261570366
tr-000,手塚治虫,3,連載,0.1097652720717447
tr-000,手塚治虫,4,作品,0.07765193470973965
tr-000,手塚治虫,5,アトム,0.07203193435675193
tr-000,手塚治虫,6,ディズニー,0.07167069823115572
tr-000,手塚治虫,7,大阪,0.05476347475588789
tr-000,手塚治虫,8,アニメ,0.0507186936785183
tr-000,手塚治虫,9,アニメーション,0.050494088235931614
tr-000,手塚治虫,10,長編,0.04959075430498437
tr-000,手塚治虫,11,制作,0.048765194487774256
tr-000,手塚治虫,12,映画,0.04548931761328467
tr-000,手塚治虫,13,少年,0.04417513974158064
tr-000,手塚治虫,14,鉄腕,0.04201862837477196
tr-000,手塚治虫,15,トキワ,0.03780084659778095
tr-000,手塚治虫,16,物語,0.035845857261066844
tr-000,手塚治虫,17,胃癌,0.03296469565720232
tr-000,手塚治虫,18,医学,0.03212664422353943
tr-000,手塚治虫,19,赤本,0.03150070549815079
tr-000,手塚治虫,20,籟鳴,0.03150070549815079
tr-001,フランツ・カフカ,1,カフカ,0.3859908146773724
tr-001,フランツ・カフカ,2,プラハ,0.08245620079741388
tr-001,フランツ・カフカ,3,フェリーツェ,0.07544569928654549
tr-001,フランツ・カフカ,4,ブロート,0.068586999351405
tr-001,フランツ・カフカ,5,ユダヤ,0.06835033695375749
tr-001,フランツ・カフカ,6,執筆,0.05726756375714576
tr-001,フランツ・カフカ,7,チェコ,0.05664320104496483
tr-001,フランツ・カフカ,8,マックス・ブロート,0.05486959948112399
tr-001,フランツ・カフカ,9,保険,0.049806046818150373
tr-001,フランツ・カフカ,10,ドイツ,0.04262820368617417
tr-001,フランツ・カフカ,11,作品,0.04226820567467058
tr-001,フランツ・カフカ,12,職場,0.03754555191154967
tr-001,フランツ・カフカ,13,彼女,0.034128402600497876
tr-001,フランツ・カフカ,14,手紙,0.03390017713338029
tr-001,フランツ・カフカ,15,ギムナジウム,0.03343923836914602
tr-001,フランツ・カフカ,16,月末,0.03272432214694044
tr-001,フランツ・カフカ,17,婚約,0.03268671410870202
tr-001,フランツ・カフカ,18,ポラック,0.03152534000892955
tr-001,フランツ・カフカ,19,作家,0.029936866768186965
tr-001,フランツ・カフカ,20,大学,0.02970823099271691
tr-002,パウル・フォン・ヒンデンブルク,1,ベネッケンドルフ・ウント・フォン・ヒンデンブルク,0.38164854750204025
tr-002,パウル・フォン・ヒンデンブルク,2,ドイツ,0.33886038739739727
tr-002,パウル・フォン・ヒンデンブルク,3,パウル・フォン・ヒンデンブルク,0.31480066320087247
tr-002,パウル・フォン・ヒンデンブルク,4,プロイセン,0.24529063927387942
tr-002,パウル・フォン・ヒンデンブルク,5,軍人,0.23948529783312103
tr-002,パウル・フォン・ヒンデンブルク,6,ヴァイマル,0.19082427375102012
tr-002,パウル・フォン・ヒンデンブルク,7,タンネンベルク,0.19082427375102012
tr-002,パウル・フォン・ヒンデンブルク,8,ポーゼン,0.19082427375102012
tr-002,パウル・フォン・ヒンデンブルク,9,ユンカー,0.19082427375102012
tr-002,パウル・フォン・ヒンデンブルク,10,シュヴィカルト,0.19082427375102012
tr-002,パウル・フォン・ヒンデンブルク,11,大戦,0.1819046086006709
tr-002,パウル・フォン・ヒンデンブルク,12,ルイーゼ,0.17046225748715
tr-002,パウル・フォン・ヒンデンブルク,13,軍医,0.1550589868080401
tr-002,パウル・フォン・ヒンデンブルク,14,ハンス,0.15100739665706334
tr-002,パウル・フォン・ヒンデンブルク,15,総長,0.15100739665706334
tr-002,パウル・フォン・ヒンデンブルク,16,少尉,0.15100739665706334
tr-002,パウル・フォン・ヒンデンブルク,17,ロベルト,0.15100739665706334
tr-002,パウル・フォン・ヒンデンブルク,18,在任,0.14758182599423536
tr-002,パウル・フォン・ヒンデンブルク,19,元帥,0.1446144617136904
tr-002,パウル・フォン・ヒンデンブルク,20,旧姓,0.14199706092132636
tr-003,魚道,1,魚道,0.9111936846793978
tr-003,魚道,2,プール,0.15924904028559964
tr-003,魚道,3,自然,0.12331422375142016
tr-003,魚道,4,扇形,0.11350874622391997
tr-003,魚道,5,隔壁,0.10497869201113731
tr-003,魚道,6,流速,0.09914654245496302
tr-003,魚道,7,流れ,0.08913708048402541
tr-003,魚道,8,河川,0.07689149653430165
tr-003,魚道,9,構造,0.07361711573154756
tr-003,魚道,10,棚田,0.07356543263765962
tr-003,魚道,11,経路,0.06848660268458054
tr-003,魚道,12,水路,0.06273699816694364
tr-003,魚道,13,流下,0.05608098097878515
tr-003,魚道,14,箇所,0.05584033475385241
tr-003,魚道,15,勾配,0.05523153248309655
tr-003,魚道,16,左右,0.05327185734078485
tr-003,魚道,17,魚類,0.05324037907382934
tr-003,魚道,18,上流,0.05138793570057904
tr-003,魚道,19,方向,0.05019430931831207
tr-003,魚道,20,設置,0.04913023575893498
tr-004,フェルディナンド・マゼラン,1,マゼラン,1.003880639348189
tr-004,フェルディナンド・マゼラン,2,ポルトガル,0.34151333942647494
tr-004,フェルディナンド・マゼラン,3,艦隊,0.30736200548382747
tr-004,フェルディナンド・マゼラン,4,航海,0.29982102502338726
tr-004,フェルディナンド・マゼラン,5,スペイン,0.20481999969247242
tr-004,フェルディナンド・マゼラン,6,発見,0.14126951369941312
tr-004,フェルディナンド・マゼラン,7,一周,0.12359429709007938
tr-004,フェルディナンド・マゼラン,8,バスコ・ダ・ガマ,0.10536309593614608
tr-004,フェルディナンド・マゼラン,9,小姓,0.1003880639348189
tr-004,フェルディナンド・マゼラン,10,周航,0.09412026487020551
tr-004,フェルディナンド・マゼラン,11,太平洋,0.09038266834764716
tr-004,フェルディナンド・マゼラン,12,達成,0.08925317853704055
tr-004,フェルディナンド・マゼラン,13,インド洋,0.07437256042316134
tr-004,フェルディナンド・マゼラン,14,航路,0.07342825316995731
tr-004,フェルディナンド・マゼラン,15,海峡,0.06956222805781136
tr-004,フェルディナンド・マゼラン,16,宮廷,0.06363061272556748
tr-004,フェルディナンド・マゼラン,17,出発,0.06156514874005564
tr-004,フェルディナンド・マゼラン,18,史上,0.058385900887200116
tr-004,フェルディナンド・マゼラン,19,インド,0.05799217923626147
tr-004,フェルディナンド・マゼラン,20,フェルディナンド・マゼラン,0.05268154796807304
tr-005,アイザック・アシモフ,1,アシモフ,0.2491135996920314
