rank,word,avg_tfidf_score,max_tfidf_score,document_count
1,エナメル,1.2393741491045636,1.2393741491045636,1
2,ウルグ・ベク,0.9276179974007922,0.9276179974007922,1
3,緑茶,0.884727669363985,1.7532058308616585,2
4,カジキ,0.8439402770315385,0.8439402770315385,1
5,クサヴェラ,0.838219423743635,0.838219423743635,1
6,補聴器,0.822465011053504,0.822465011053504,1
7,レオナルド,0.8126812663517063,0.8126812663517063,1
8,谷田部,0.8070575487590136,0.8070575487590136,1
9,バコール,0.8054271294685914,0.8054271294685914,1
10,雷蔵,0.7806447562541733,0.7806447562541733,1
11,パターソン,0.7694981792323263,0.7694981792323263,1
12,ピュー,0.7515445465396741,0.7515445465396741,1
13,トレイン・シェッド,0.748252857654415,0.748252857654415,1
14,メレアグロス,0.7454073193399223,0.7454073193399223,1
15,プー,0.7437639016279918,0.7437639016279918,1
16,ジャバウォック,0.7256697734193722,0.7256697734193722,1
17,春子,0.7221733356148987,0.7221733356148987,1
18,ムカシトカゲ,0.7178919623430661,0.7178919623430661,1
19,スージー,0.7050157897205177,0.7050157897205177,1
20,成岡,0.6945854191328716,0.6945854191328716,1
21,グレア,0.6831624301962502,0.6831624301962502,1
22,マリー・アンヌ,0.6704208288760922,0.6704208288760922,1
23,アルバートサウルス,0.6673905947250703,0.6673905947250703,1
24,マゼラン,0.6631546489487298,1.003880639348189,2
25,花井,0.6571754325609112,0.6571754325609112,1
26,ムンク,0.6545039877131026,0.6545039877131026,1
27,敦子,0.6454856114038929,1.2769013565813236,2
28,スコモローフ,0.6396705339057898,0.6396705339057898,1
29,アルキメデス,0.6340634348019046,1.2587118785673446,2
30,黄砂,0.6275585129448895,0.6275585129448895,1
31,ポター,0.6265260490108601,0.6265260490108601,1
32,南硫黄島,0.6217787883274474,0.6217787883274474,1
33,越賀,0.6158074172841685,0.6158074172841685,1
34,ゴズリング,0.6143281454484492,0.6143281454484492,1
35,涼介,0.609618004311465,0.609618004311465,1
36,発泡,0.6094939342993939,0.6094939342993939,1
37,安城,0.5986194164545223,0.5986194164545223,1
38,アロサウルス,0.5942221278949678,0.5942221278949678,1
39,ラヴェル,0.5940755692248739,0.5940755692248739,1
40,ヤナーチェク,0.5883851233305534,0.5883851233305534,1
41,プリエ,0.5724728212530603,0.5724728212530603,1
42,黒石,0.5691732660873366,0.5691732660873366,1
43,ラーンナー,0.5690241897997287,0.5690241897997287,1
44,イェーガン,0.567741640912126,0.567741640912126,1
45,きさらぎ,0.5613837593401682,0.5613837593401682,1
46,標示,0.5590028725176942,0.5590028725176942,1
47,サンデーサイレンス,0.5576857004088853,0.5576857004088853,1
48,雨氷,0.5572744277684658,0.5572744277684658,1
49,ベギン,0.5548582729068123,0.5548582729068123,1
50,任天堂,0.5545649933430252,0.5545649933430252,1
51,稲沢,0.5540059560513487,0.5540059560513487,1
52,ディーリアス,0.5540059560513487,0.5540059560513487,1
53,ヒムヤル,0.5499123159820039,0.5499123159820039,1
54,プレスター・ジョン,0.5450012152796163,0.5450012152796163,1
55,ルワンダ,0.5426786967268787,0.5426786967268787,1
56,ウツクシマツ,0.5383345337471439,0.5383345337471439,1
57,国崎,0.5358345606928645,0.5358345606928645,1
58,藤山,0.5304526505070145,0.5304526505070145,1
59,ゾング,0.5254787836875107,0.5254787836875107,1
60,ウェスティ,0.5247667528153053,0.5247667528153053,1
61,トスカニーニ,0.5236031901704821,0.5236031901704821,1
62,焼酎,0.5214833391981318,0.5214833391981318,1
63,逆川,0.5170904555247288,0.5170904555247288,1
64,焼戻し,0.5169369350408659,0.9683042842436288,2
65,マコーリー,0.5126622279878152,0.5126622279878152,1
